"","author"
"1",""
"2","А. Ф. Ф."
"3","Аксаков К.С."
"4","Аладьина Е.В."
"5","Алексеев П.Ф."
"6","Ан-в"
"7","Анисимова Д.А."
"8","Анордист Н."
"9","Аполлон де ***"
"10","Бакунин И.М."
"11","Баласогло А.П.<?>"
"12","Барановский В."
"13","Баратынский Е.А."
"14","Бахтурин К.А."
"15","Башкатов А."
"16","Бём А."
"17","Бенедиктов В.Г."
"18","Бенецкий Н.Ф."
"19","Бернет Е."
"20","Бестужев А.А. (Марлинский)"
"21","Бобылев Н.И."
"22","Богданов Н."
"23","Бороздна И.П."
"24","Бутырский Н.И."
"25","Быстроглазов А."
"26","Вельтман А.Ф."
"27","Венгер Н."
"28","Вердеревский А."
"29","Владиславлев В.А."
"30","Волков А.А."
"31","Геевский С.Л."
"32","Глинка С.Н."
"33","Глинка Ф.Н."
"34","Глухарев И.Н."
"35","Горчаков В.Н."
"36","Грен Н."
"37","Громов И."
"38","Данков И.И."
"39","Деларю М.Д."
"40","Демидов М.А."
"41","Дмитриев И.И."
"42","Дмитриевский М.И."
"43","Доброхотов Ф."
"44","Долгоруков А.В."
"45","Долгоруков А.И."
"46","Дьячков С.П."
"47","Жуковский В.А."
"48","Зилов А.М."
"49","Карелин И.М."
"50","Карманов Г."
"51","Кашаев В."
"52","Кашкин Д.Е."
"53","Кольцов А.В."
"54","Краснов С."
"55","Красноглазов А."
"56","Криксин"
"57","Крылов И.А."
"58","Крыловский В."
"59","Кукольник Н. (изд.)"
"60","Кульман Е.Б."
"61","Кульчицкий А."
"62","Лавров Н."
"63","Лебедев В."
"64","Левицкий И."
"65","Леонов А.А."
"66","Лермонтов М.Ю."
"67","Лисенецкий С.Ф."
"68","Магденко А."
"69","Майков М.А."
"70","Максимов М.И."
"71","Максимович М."
"72","Макшеева В.Д.  / Молчанова В. "
"73","Малышев Г.Г."
"74","Марков М.А."
"75","Мартынов А."
"76","Маслеников-Какуев А."
"77","Медведенко Н."
"78","Мейснер А.Я."
"79","Меркли М.М."
"80","Метлинский А.Л."
"81","Моствило-Головач Т."
"82","Мысовский-Светогорский С.Д."
"83","Мягков Н.Н."
"84","Мятлев И.П."
"85","Некрасов Н.А."
"86","Ободовский П.Г."
"87","Огинский А.Г."
"88","Олин В.Н."
"89","Оранский Н.Д."
"90","Орлов А.А."
"91","П. Гр…в"
"92","П. Ш."
"93","Папкевич А."
"94","Петров И.М."
"95","Поднебесный М.М."
"96","Подолинский А.И."
"97","Полежаев А.И."
"98","Полонский Я.П."
"99","Праволамский П."
"100","Пуговишников А.М."
"101","Пустельгин"
"102","Пушкин А.С."
"103","Раевич  И.А."
"104","Риль Ю."
"105","Рыбников А.Н."
"106","Саблин Е.И."
"107","Савурский Н."
"108","Семенов П."
"109","Сиянов П.Г."
"110","Скосырев К."
"111","Слепушкин Ф.Н."
"112","Смирнова А."
"113","Соколовский В.И."
"114","Стромилов С.И."
"115","Суханов М.Д."
"116","Сушков Д.П."
"117","Теплова Н.С."
"118","Тепляков В.Г."
"119","Тимофеев А.В."
"120","Топчибашев М. Д."
"121","Тростин Х.Д."
"122","Тяпкин"
"123","Ушаков А.А."
"124","Фет А.А."
"125","Филимонов П.С."
"126","Харинский Х."
"127","Хвостов Д. И."
"128","Хлебников Н."
"129","Хомяков А.С."
"130","Цимбалин К.И."
"131","Цитович Н.Д."
"132","Шаршавый П.Я."
"133","Шахова Е.Н."
"134","Шаховской А.А."
"135","Шереметевский П.В."
"136","Щукин К."
"137","Эртель В.А."
"138","Яковлев А."
"139","Якубович Л.А."
