"","type","year","book_title","n"
"1","book",1835,"Сочинения Николая Венгера в стихах и прозе",1
"2","book",1835,"Стихотворения Алексея Кольцова",3
"3","book",1835,"Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания",49
"4","book",1835,"Стихотворения Михаила Меркли",5
"5","periodicals",1835,"БдЧ",20
"6","periodicals",1835,"ЛПРИ",9
"7","periodicals",1835,"МН",3
"8","periodicals",1835,"Сев_пч",1
"9","periodicals",1835,"Телескоп",2
"10","book",1836,"Литературные занятия",1
"11","book",1836,"Мои сельские досуги",1
"12","book",1836,"Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]",1
"13","book",1836,"Песни, романсы и стихотворения А.П. / Изд. 2",6
"14","book",1836,"Рукописи из зеленого портфеля",1
"15","book",1836,"Стихотворения Алексея Мейснера",3
"16","book",1836,"Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.",1
"17","periodicals",1836,"БдЧ",1
"18","periodicals",1836,"ЛПРИ",3
"19","periodicals",1836,"Телескоп",1
"20","book",1837,"Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым",1
"21","book",1837,"Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения",1
"22","book",1837,"Стихотворения А. Быстроглазова. В 2 ч. Ч. 1",2
"23","book",1837,"Стихотворения А. Быстроглазова. В 2 ч. Ч. 2",12
"24","book",1837,"Стихотворения Михаила Меркли / 2-е изд.",2
"25","periodicals",1837,"БдЧ",12
"26","periodicals",1837,"ЛПРИ",3
"27","periodicals",1837,"СО",3
"28","periodicals",1837,"Совр",2
"29","book",1838,"Быль и заблуждение моего ума и сердца. Соч. Алексея Башкатова, в стихах и прозе",12
"30","book",1838,"На все время и пора [Стихотворения]",1
"31","book",1838,"Разные разности. Стихотворения М. Демидова",2
"32","book",1838,"Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>",2
"33","book",1838,"Стихотворения Александра Вердеревского",1
"34","book",1838,"Стихотворения Н. Тепловой. Изд. 2, умноженное",1
"35","book",1838,"Утренняя заря Альманах Владиславлева на 1839 год. 1-й год",3
"36","periodicals",1838,"БдЧ",4
"37","periodicals",1838,"ЛПРИ",5
"38","periodicals",1838,"СОиСА",7
"39","periodicals",1838,"Сев_пч",1
"40","book",1839,"Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым",2
"41","book",1839,"Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником",1
"42","book",1839,"Одесский Альманах, на 1839 год",2
"43","book",1839,"Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения",1
"44","book",1839,"Стихотворения Елизаветы Шаховой",1
"45","periodicals",1839,"БдЧ",8
"46","periodicals",1839,"ЛПРИ",3
"47","periodicals",1839,"ОЗ",3
"48","periodicals",1839,"СО",3
"49","book",1840,"Застольная песня",1
"50","book",1840,"Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович",2
"51","book",1840,"Лирические стихотворения и сказки",3
"52","book",1840,"Лирический пантеон. А.Ф.",2
"53","book",1840,"Мечты и звуки. Стихотворения Н.Н.",3
"54","book",1840,"Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.",1
"55","book",1840,"Стихотворения М. Лермонтова",1
"56","periodicals",1840,"БдЧ",3
"57","periodicals",1840,"ЛГ",18
"58","periodicals",1840,"Маяк",7
"59","periodicals",1840,"ОЗ",14
"60","periodicals",1840,"ПРиВЕТ",9
"61","periodicals",1840,"СО",19
