"","ending_pair","n_var","feats_list"
"1","-а'дость -- -а'дость",1,"S,жен,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед)"
"2","-е'нье -- -е'нье",1,"S,сред,неод=(пр,ед|вин,ед|им,ед) -- S,сред,неод=(пр,ед|вин,ед|им,ед)"
"3","-е'ньем -- -е'ньем",1,"S,сред,неод=твор,ед -- S,сред,неод=твор,ед"
"4","-а'ний -- -а'ний",2,"S,имя,муж,од=им,ед -- S,сред,неод=род,мн 
 S,сред,неод=род,мн -- S,сред,неод=род,мн"
"5","-а'нье -- -а'нье",2,"S,ед,сред,неод=(пр|вин|им) -- S,сред,неод=(пр,ед|вин,ед|им,ед) 
 S,сред,неод=(пр,ед|вин,ед|им,ед) -- S,сред,неод=(пр,ед|вин,ед|им,ед)"
"6","-о'чи -- -о'чи",3,"S,гео,ед,жен,неод=(пр|дат|род) -- S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн|местн,ед) 
 S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн|местн,ед) -- S,сред,неод=(вин,мн|им,мн) 
 S,сред,неод=(вин,мн|им,мн) -- S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн|местн,ед)"
"7","-а'нья -- -а'нья",5,"S,ед,сред,неод=род -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,ед,сред,неод=род 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,сред=(вин,мн|род,ед|им,мн) 
 S,сред=(вин,мн|род,ед|им,мн) -- S,сред,неод=(вин,мн|род,ед|им,мн)"
"8","-е'ний -- -е'ний",5,"S,муж,од=им,ед -- S,сред,неод=род,мн 
 S,муж,од=им,ед -- S,сред=(вин,мн,од|род,мн,од|род,мн,неод) 
 S,сред,неод=род,мн -- S,муж,од=им,ед 
 S,сред,неод=род,мн -- S,сред,неод=род,мн 
 S,сред,неод=род,мн -- S,сред=(вин,мн,од|род,мн,од|род,мн,неод)"
"9","-е'нья -- -е'нья",7,"S,имя,жен,од=им,ед -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,мн,неод=(вин|им) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|им,мн) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,мн,неод=(вин|им) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=дат,мн -- S,сред,неод=дат,мн 
 S,сред,неод=пр,мн -- S,сред,неод=пр,мн"
"10","-и'тель -- -и'тель",7,"S,жен,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,од=им,ед -- S,жен,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,муж,од=им,ед"
"11","-и'ца -- -и'ца",7,"S,жен,неод=им,ед -- S,жен,неод=им,ед 
 S,жен,неод=им,ед -- S,жен,од=им,ед 
 S,жен,неод=им,ед -- S,муж,неод=род,ед 
 S,жен,неод=им,ед -- S,фам,муж,од=(вин,ед|род,ед) 
 S,жен,од=им,ед -- S,жен,неод=им,ед 
 S,жен,од=им,ед -- S,жен,од=им,ед 
 S,фам,муж,од=(вин,ед|род,ед) -- S,жен,неод=им,ед"
"12","-и'цы -- -и'цы",7,"S,жен,неод=(вин,мн|род,ед|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,жен,од=(род,ед|им,мн) 
 S,жен,од=(род,ед|им,мн) -- A=мн,кр 
 S,жен,од=(род,ед|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,жен,од=(род,ед|им,мн) -- S,жен,од=(род,ед|им,мн) 
 S,жен,од=(род,ед|им,мн) -- S,имя,жен,од=(род,ед|им,мн) 
 S,имя,жен,од=(род,ед|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн)"
"13","-у'ки -- -у'ки",8,"A=мн,кр -- S,муж,неод=(вин,мн|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,муж,неод=(вин,мн|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,муж,од=им,мн 
 S,муж,неод=(вин,мн|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,муж,неод=(вин,мн|им,мн) -- S,муж,од=им,мн 
 S,муж,од=им,мн -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,муж,од=им,мн -- S,муж,неод=(вин,мн|им,мн)"
